,Tweet,len,metrics,source
31,@Xbox That spiderman game on the ps2,36,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
32,The Spiderman phase never ends ❤️ https://t.co/zknh3DDqdi,57,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android
33,side note i already forced my dad to watch spiderman into the spiderverse w me and he tried so hard to hate it (he has a vendetta against spiderman dont ask) but the leap of faith scene Gets Us All,197,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone
34,"I’m one trophy away from doing plati on P5R, just looked through my trophies, I lied I platinumed Batman (the telltale games one), and literally only 3 trophies away in HZD, and 4 trophies in SpiderMan... tempted but I rather just play more video games",252,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
35,@jimjameswhelan Easily the best Spiderman movie,47,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
36,"I'm in a spider verse 🕷️
#gwen #spidey #marvel #comics #cosplay #可愛い #私 #オタク #スパイダーマン #spidergwen #spiderman #stacy https://t.co/BfRd1JHkbx",139,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Instagram
37,339 days until we get mark spiderman 🥶🥶🥶🥶‼️‼️,45,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
38,"Tbh jadi keinget Hinata Spiderman :"") https://t.co/tlKQxNAruq",61,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
39,just a pre fight scene with my re imagining of Doc Ock and Spiderman (The Spider-Menace). im really proud of how this turned out! #Spiderman  #DocOck #spidersona https://t.co/lpBQI8FlTa,185,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
40,@TobeyMaguire @kirstendunst .. your forever tattooed on my arm 🤣🤷‍♂️ #tattoo #Marvel #Spiderman https://t.co/Qh6HbVpk7D,119,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
41,"Some #sweaty #SpiderGwen. 
#hentai #spiderman #GwenStacy #armpits #fetish https://t.co/LLh4qLOKj9",97,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",Twitter Web App
42,fUCKING GODDAMN I LOVE SPIDERMAN,32,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
43,@chuupops plus my biggest comfort characters are spiderman and miles,68,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
44,@rpuffinstuff He likes Spiderman. Look how cute. I can't say no to that face https://t.co/6a784oh0TU,100,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",Twitter for Android
45,@BionicMicki it's a Spiderman pointing meme situation,53,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter Web App
46,"Game plan for the #stream tomorrow. Play #SpiderMan Miles Morales, then jump on #warzone. My links in the bio if anyone wants to drop a follow and know when I go live. Show love💙🤞🏻 #PS5 #PlayStation5 #NextGen #twitch #SmallStreamersCommunity #TwitchAffilate",257,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter for iPhone
47,Cash money for a picture of Spiderman hurting an apparel worker!,64,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
48,i finished all of the dlcs in spiderman woohoo,46,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
49,"Top of my List: GTA Vice City. Then Wwe day of recknoning 2, Halo 2 &amp;  3,MK Shaolin Monks and Armageddon, Cod MW2, Cod BO2, GTA san andreas. Forza motorsports 2, Burn Out 1 and 2, NBA 2k13, Spiderman 2 and its a few more just gotta think. https://t.co/tx6bvEORLu",266,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
50,"//Might do a symbiote event, or just make this a Spiderman with a symbiote permanently. I feel like it would a loooot of angst 👀",128,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
51,keonhee i fell like spiderman https://t.co/gZvEQ6x0Oi,53,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
