,Tweet,len,metrics,source
0,Rewatching Spiderman the animated series from the 90s is the best decision I’ve made this weekend.,98,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
1,@CensoredFootage Spiderman movies are all really close to 1:1 adaptations imo I mean except for the Tony Stark stuff,116,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter Web App
2,"Miles Morales' outfit in Marvel's Spider-Man: Maximum Venom is a reference to his Spider-Man: Into The Spider-Verse counterpart.

#WeWantMSMSeason4 #MarvelsSpiderMan #MarvelsSpiderManMilesMorales #MilesMorales #MaximumVenom #MSM2017 #SpiderMan #MilesMoralesPS4 #peterparker https://t.co/TGi7gmRotQ",297,"{'retweet_count': 5, 'reply_count': 3, 'like_count': 49, 'quote_count': 0}",Twitter Web App
3,@AskPlayStation Can I trade my system or anything everyone else i know with a ps5 spiderman work's but mines seem not too,121,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
4,@MarioGotSniped @GoldBeard13 @PastelN0ir @MoonBigfoot @DamianJovel @tajmeas @Naughty_Dog What separates a game like Spiderman from sonic 06,139,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
5,My spidersona trend thingy from like a couple of years ago. The outfit is still accurate😂 #Spiderman #digitalart #artistsontwitter #sketch https://t.co/VrWM0x8u5w,162,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
6,"@TheRealStuddy @GAMEdigital Not really, especially when it's pretty much the exact same as the first Spiderman. 

It's a great game, but not worth the price tag. Especially when other games out there for the same price are much longer (cyberpunk)",246,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
7,@luvingyeon *amazing spiderman 2*,33,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",Twitter Web App
8,@will1886 @BROOKLYN_Spidey @_Spiderman @SpiderMan @JankyHoboSpidey @MarvelUK Your welcome 😊,91,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
9,Spiderman Miles Morales #PS4share https://t.co/nINHUoVsHI,57,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",PlayStation®Network
