,Tweet,len,metrics,source
241,"rn i'm watching joker (2019), i don't give a fuck about super heroes, their villains, their universe etc but i also love joaquin phoenix... same about batman's new movie, i'll only watch it because of my boyfriend robert pattinson",230,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter Web App
242,"men who think that nolan is a movie god, prefer dc (especially batman) to marvel, think that joker is a good movie, fight club &amp; american psycho are on his top movies list, think that ep 4 5 6 are the superior star wars, hate rey, hate disney's star wars but love the mandalorian https://t.co/h0bDq0as9c",307,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
243,"@RPat360 @IanFortey @Collider You sound like the guys, who said the snyder would never happen, never say never, also the batman has its own continuity like the joker movie, that doesn't mean the dceu where movies like aquaman 2 or the eventual wonder woman 3 would happen will be scraped.",288,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",Twitter for Android
244,joker was probably the most overrated movie in recent memory. that shit was decent but people act like it's a masterpiece,121,"{'retweet_count': 1, 'reply_count': 5, 'like_count': 10, 'quote_count': 0}",Twitter Web App
245,"I am a big fan of X-Men, Wolverine, and Spiderman movies.  I liked the Joker movie too.  Big fan of Hollywood.",110,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
246,@naked_joker @UniversalHorror Exactly! I refuse to believe they did not name it that just for the pun. It’s such a stupid name for a dumb looking movie.,152,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
247,@ComicBook_Movie I think joker will appear in post apocalyptic scene,68,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
248,@IntroSpecktive @3DS_Bruh_98 Yeah joker and Shazam but ngl the lego batman movie is 🔥,85,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",Twitter for iPhone
249,@DrKarlynB My last movie theater movie was Joker.,49,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
250,Him referencing Suicide Squad movie of David Ayer and so far all these Jared Leto Joker news always make me think the Ayer Cut is still happening &amp; the feels of Synder supporting Ayer Cut too! Also I just found out now as some new Leto Joker news were also revealed few days ago!,283,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
251,The last joker movie https://t.co/e50G59dZeI,44,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
252,Jared Leto’s Joker will have a new road-weary look in Justice League https://t.co/BcNAHykt9j,92,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",WordPress.com
253,i like how suicide squad basically shows a new type of abuse the joker gives.. the way harley is basically  his property and not a equal is amazing the way deadshot is basically the leader of the villains even tho i can admit suicide squad was bad it’s a movie that i watch,273,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
254,I was just thinking that I want to rewatch Joker and then I realized all the controversy shit surrounding the movie where they were saying it would turn young white men into mass sh*oters was already over a year ago.... oh my GOD what the fuck?! https://t.co/V5t5PkdZDm,269,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 7, 'quote_count': 0}",Twitter Web App
255,"@screenrant @Ser_Jon_Arryn Zack says “water gone under the bridge since the last time we saw him.” Future timeline JOKER, time has past since SS, different look, maybe long hair or beard, same tattoos, Zack would not disrespect Ayer &amp; Joker by removing tattoos. I can’t wait to see Joker I’m this movie.",307,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 8, 'quote_count': 0}",Twitter for iPhone
256,@KevinSussman He should be the next Joker in a Batman movie!! Full of shit and trying to make jokes that aren’t funny!,118,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
257,"@andrekitaruiz @CutAyer @Chelebear7 @HacktheMovies @kinky_horror yeah I think we might see a small glimpose, its fun to imagine if any of the rumors of what the joker will be doing in the movie is true, my money is that the joker we see will just be from the ""Knightmare""  based on the ""road weary"" description",310,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
258,"This Design Of The Back Of This Ambulance In #Joker (2019) Looks Familiar 

https://t.co/iMzNy1g1id https://t.co/15hxGyudFJ",123,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
259,"@punished_robin @cow__face @schizoideee YOU LIKE THE JOKER MOVIE????

that's it, you are #cancelled 💅💅💅",103,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter Web App
260,"(3/5) A 3rd of the movie is Joker gaining support / breaking out. We hear warnings from other Asylum patients of a “Dark Gaurdian” watching over Gotham. Once he makes it out, using his Cult status; He ‘Charles Manson’ style orders all elites of Gotham to be murdered.",267,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
261,@schizoideee it's literally the movie the Joker tried to copy but yeah,70,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter Web App
262,@NoxyVereor yeah king of comedy is in the same kinda subgenre of movie with joker and fight club and taxi driver and shit and its just a way better movie than joker so why are ppl becoming the shit one... right?,211,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for iPad
263,"@qLxke_ Two DC shows I wanna see on HBO Max

1, Ben Affleck’s Batman - adapting the unused movie script into a mini series with Joker, Deathstroke, Harley and more. 

2, Superman show with Brandon Routh",202,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter Web App
264,"@brian_shoots @DeadpoolakaDP @Alienorexium @MrNiceGuy18_58 Again that's preference but down to a technical aspect, Joker beats out every MCU movie.",147,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App
265,"i love the joker movie
#UnusAnnusisoverparty https://t.co/XTkVcyNfKh",68,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
266,"#unusannusoutofcontext 
The Joker movie looking different. https://t.co/CpngS6b2CW",82,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android
