,Tweet,len,metrics,source
0,Like and Share if you want this  Children Watch The 3D Projection Cartoon Ultraman Spiderman Ironman Princess  Digital Watches  Kids Watches Toy­Tag a friend who would love this!FREE Shipping WorldwideBuy one here---&gt; https://t.co/H0zzMMLOLz#hashtag1 https://t.co/U7hzs1ihZD,280,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",SocialRabbit Plugin
1,"PARKER! Pictures of Spiderman with The Positive Giraffe, stat!",62,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
2,"Hi, Captain Late To The Party As Usual™ here. Just finally got around to watching Spiderman: Into The Spiderverse and HOLY CRAP I LOVED LITERALLY EVERYTHING ABOUT IT.",166,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
3,@FUT_Senpai SpiderMan !!!!,26,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
4,"Finished the first DLC chapter in Spiderman, switching to some Holy Priest mythic dungeons in WoW.",98,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
5,@SourBulba Thoughts on spiderman so far?,40,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
6,Second spiderverse movie? #spiderman #MilesMorales #Spiderverse #sony,69,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
7,"@Gurnico AC Valhalla, Spiderman DLC and MGS V",45,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
8,@millicentgames Because I’m That Person I can’t start Spiderman until I finish it AND IT’S KILLING ME,101,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter Web App
9,Fresh finished and up for grabs: This #spiderman #milesmorales #spiderverse #staticshock sketchcover 60 bucks plus shipping and it's yours! #smallbusinesssaturday https://t.co/5hXvpkzy9S,186,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
10,"Spider-man📸
#Spiderman #PS4 #VGPUnite #Gametography #VirtualPhotography #PhotoMode #PS4Share https://t.co/mzLaGFIxwb",116,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
11,@OG_SA_SpiderMan @insomniacgames @BrianHortonArt @James_Ham90 @JamesStevenson @bryanintihar @ArtistSociet Enjoy!,112,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
12,black spiderman,15,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
13,i find spiderman ps4 pretty boring im sorry 🏃‍♀️💨 https://t.co/dFeMNEaqs3,73,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
14,Spiderman distracted me. Expect art tomorrow. Promise,53,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
15,"@DuncanKetcheson Look you have to understand, this movie came out after I'd been burned by 3 Sony Spiderman movies in a row, and After I'd been burned by dc rushing to do a teamup movie. I truly did not expect this movie to be as good as it was",244,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for Android
16,Check out SPIDERMAN SLIPPERS  5-6 NEW WITH TAG CUTE #dccomics #SlipOn https://t.co/mj2dPPrKbV via @eBay 25% off for 3 days,122,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
17,@momvsgames What do you think about trying the Spiderman game?,62,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
18,"If anyone wants to Netflix party Spiderman Into The SpiderVerse hmu, thanks 😊",77,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
19,"And there we go....first #PS5 Platinum  :) 

I do love this game fair play. Finished it twice now...now to move on

#spiderman #milesmorales #spidermanmilesmorales #playstation5 #playstation #gaming #gamer @insomniacgames @PlayStation https://t.co/9gOQ6Yv8MN",258,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
20,"@ohlookimadorito @VibesCake @krallum236 @JayExci Funny enough tldr my brain also just read this as ""oh so spectacular spiderman did this better""
Lol as it does https://t.co/nrZZwj3zlH",183,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
21,Check out what I just added to my closet on Poshmark: Spider-Man Wristwatch Kids LCD Display Watch Flash. https://t.co/dORrKoRGsd via @poshmarkapp #shopmycloset,160,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Poshmark
