,Tweet,len,metrics,source
0,Reading ultimate spiderman https://t.co/8Dn5io0iJC,50,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1,GET THE SPIDERMAN 2 PIZZA THEME READY FOR NEXT EPISODE BOIS https://t.co/bRMQxO8mcq,83,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",Twitter for Android
2,@augmc2 Makes me even more excited for spiderman 2,50,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
3,Ok lets try spiderman for real this time lol https://t.co/xtwLfZMTta https://t.co/Fgr0mXPLEq,92,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",Twitter Web App
4,"@LivyDesborough Good point! My youngest (8) always has to tell other kids off if they are being mean to my eldest (autistic,11). Its a shame its just because they are ignorent but not nice to take the piss out of him just because he wants to play spiderman 😔",258,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 31, 'quote_count': 0}",Twitter for Android
5,"Alot of games lined up.for December To play on stream🎄

🎁 Finish Judgment 
🎁 Spiderman Miles Morales 
🎁 DMC5 Special Edition 

Plus many more🥰
In terms of Youtube Content MORE Animal Crossing of course &amp; ill be introducing Pokemon TCG to the channel too!❣
Im much excite👀 https://t.co/5cGVeMwfGL",299,"{'retweet_count': 1, 'reply_count': 3, 'like_count': 8, 'quote_count': 0}",Twitter for Android
6,Also Spiderman on PS4 went crazy https://t.co/9omSkyBi49,56,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
7,"My brother is playing Genshin and he went with Amber to NPC Amber for a quest and he was like ""you know that spiderman meme?"" 😭😭",128,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
8,"Bruh! #SpiderMan #PS4 #Glitch

https://t.co/sE9xfOoZIr https://t.co/zSDz1i0e81",78,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",PlayStation®Network
9,Living Inside The The Chicken Cow by Spiderman's Ass,52,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
10,@super_marvelfan @loverboymedia @channel_pup @Browntable_Ent @SpideyFrame @Earth833 @_Earth_199999 @EARTH199999MCU @Countdown_SM3 @SpiderMan_MCU_ It really is. MCU is clowned on 24/7,182,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
11,@janey20641686 yup but dont you think they contradict themselves.if i walk past them at work they try to slide up the wall like fucking spiderman.but if i make a brew and pass them one they take it and drink it there loons 🤪,224,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
12,Spiderman 🥰 https://t.co/l671FpnfC3,35,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 9, 'quote_count': 0}",Twitter Web App
13,Spiderman https://t.co/48wgW2Ep83,33,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
14,"@IGN The combat in spiderman ps4 is stiff and unenjoyable. You have superhuman strength yet enemies react to getting hit about a much as a brick wall. Finisher are cool and all, but once you've seen the same animation 50 times it gets a bit boring.",248,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
15,Who is the real Spiderman?!? Cat only playthrough begins. @insomniacgames @clairepicsMusic https://t.co/1WBNYnpNXC,114,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
16,@TechniqTV @blackoni @MollsisBored @Ramez05 @Pro_Kesadia She said impact black folks... Not all of us care for Spiderman ijs but take it how u want.,148,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter Web App
17,Spiderman be like https://t.co/q3kYsKoEOW,41,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
18,does anyone have that one keith fancam with the whats up danger song from spiderman because i really feel like seeing it hgkfdjsla,130,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter Web App
19,@insomniacgames Amazing Spiderman https://t.co/3ixjFDM5JG,57,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
20,"@OThreens I checked out a scene in Spiderman yesterday that actually made noticeable use of ray tracing in fidelity mode and it was great!

Then I remembered it wasn't in 60 frames, and inevitably began to hate it.",214,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
21,"@Xbox Spiderman PS4, Oh you don't have that how about smash brothers?",69,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
22,@JasonLebron007 @Davidsgomes3 @JapanQC @xThexEvilxLordx @TrojanGame10 @SkillUpYT Insomniac chose to make a Spiderman game out of all of marvels roster,150,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
23,@onmercnem @Rico_nastyy fuck allat your spiderman jacket going stupid,69,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
24,What the hell?  #PS4share #Spiderman #Marvel #FinalFantasyXV https://t.co/E4sUcuXsR0,84,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",PlayStation®Network
25,"@gokurawt @hey_spiderman You can fly, he can't, you can easily escape",69,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
26,"@driiftyfilm @loverboymedia @channel_pup @Browntable_Ent @SpideyFrame @Earth833 @_Earth_199999 @EARTH199999MCU @Countdown_SM3 @SpiderMan_MCU_ Totally agree. The MCU is a revolutionary in movie history, and changed movies forever!",229,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone
27,"Parker, if you don't get me pictures of Spiderman looking flirty, you're fired!",79,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
28,"My idols as a kid was https://t.co/TukAjbTJu9, Dexter, and spiderman. Now as an adult I relate most to https://t.co/TukAjbTJu9.",127,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
29,"Amazing #SpiderMan 301 CGC 9.8 2000 🔥🔥 #eBay #US #Auction #Comics #ComicBooks #ComicBKSearch
🔗 https://t.co/HOHfo0a8al * https://t.co/0tfFsDRkPY",144,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Racing Snail Post Service
30,i had a dream that i was at the cinema watching spiderman with tom holland and i think it’s cause of seeing fancams of him on twitter lmfao maybe i should stan,159,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
31,@SpiderMan I caught this last one👀 https://t.co/JPvVZW9j0i,58,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
